Month,Year,Revenue
1,2020,5000
2,2020,5200
3,2020,5300
4,2020,5400
5,2020,5500
6,2020,5600
7,2020,5700
8,2020,5800
9,2020,5900
10,2020,6000
11,2020,6100
12,2020,6200
1,2021,6300
2,2021,6400
3,2021,6500
4,2021,6600
5,2021,6700
6,2021,6800
7,2021,6900
8,2021,7000
9,2021,7100
10,2021,7200
11,2021,7300
12,2021,7400
1,2022,7500
2,2022,7600
3,2022,7700
4,2022,7800
5,2022,7900
6,2022,8000
7,2022,8100
8,2022,8200
9,2022,8300
10,2022,8400
11,2022,8500
12,2022,8600
1,2023,8700
2,2023,8800
3,2023,8900
4,2023,9000
5,2023,9100
6,2023,9200
7,2023,9300
8,2023,9400
9,2023,9500
10,2023,9600
11,2023,9700
12,2023,7000
